sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),variety
0,7.4,2.8,6.1,1.9,virginica
1,6.3,2.3,4.4,1.3,versicolor
2,6.2,2.9,4.3,1.3,versicolor
3,6.3,2.5,4.9,1.5,versicolor
4,5.0,2.0,3.5,1.0,versicolor
5,6.1,3.0,4.6,1.4,versicolor
6,5.5,2.6,4.4,1.2,versicolor
7,5.8,2.7,5.1,1.9,virginica
8,4.8,3.4,1.9,0.2,setosa
9,6.5,3.0,5.8,2.2,virginica
10,6.7,3.0,5.2,2.3,virginica
11,6.6,3.0,4.4,1.4,versicolor
12,5.1,3.5,1.4,0.3,setosa
13,5.6,3.0,4.1,1.3,versicolor
14,6.4,2.9,4.3,1.3,versicolor
15,6.7,3.1,4.4,1.4,versicolor
16,6.3,3.3,6.0,2.5,virginica
17,5.7,2.8,4.5,1.3,versicolor
18,6.7,3.3,5.7,2.1,virginica
19,5.7,3.0,4.2,1.2,versicolor
20,5.7,2.6,3.5,1.0,versicolor
21,5.8,2.8,5.1,2.4,virginica
22,6.5,3.0,5.2,2.0,virginica
23,5.1,3.5,1.4,0.2,setosa
24,5.9,3.2,4.8,1.8,versicolor
25,7.7,2.8,6.7,2.0,virginica
26,5.4,3.7,1.5,0.2,setosa
27,6.1,2.8,4.0,1.3,versicolor
28,7.0,3.2,4.7,1.4,versicolor
29,5.2,2.7,3.9,1.4,versicolor
30,7.2,3.6,6.1,2.5,virginica
31,5.1,3.8,1.5,0.3,setosa
32,6.6,2.9,4.6,1.3,versicolor
33,7.6,3.0,6.6,2.1,virginica
34,6.7,3.1,4.7,1.5,versicolor
35,4.6,3.4,1.4,0.3,setosa
36,5.1,3.4,1.5,0.2,setosa
37,6.3,2.8,5.1,1.5,virginica
38,4.4,3.2,1.3,0.2,setosa
39,6.0,2.2,4.0,1.0,versicolor
40,5.7,3.8,1.7,0.3,setosa
41,4.8,3.4,1.6,0.2,setosa
42,4.6,3.2,1.4,0.2,setosa
43,6.2,2.8,4.8,1.8,virginica
44,5.1,3.3,1.7,0.5,setosa
45,5.1,3.8,1.6,0.2,setosa
46,5.9,3.0,5.1,1.8,virginica
47,6.7,2.5,5.8,1.8,virginica
48,6.4,2.8,5.6,2.2,virginica
49,5.6,3.0,4.5,1.5,versicolor
50,5.2,3.4,1.4,0.2,setosa
51,5.0,3.5,1.6,0.6,setosa
52,6.8,3.2,5.9,2.3,virginica
53,7.9,3.8,6.4,2.0,virginica
54,6.3,2.7,4.9,1.8,virginica
55,5.1,3.8,1.9,0.4,setosa
56,5.1,2.5,3.0,1.1,versicolor
57,6.4,3.1,5.5,1.8,virginica
58,6.4,3.2,4.5,1.5,versicolor
59,4.9,3.6,1.4,0.1,setosa
60,5.4,3.4,1.5,0.4,setosa
61,6.5,2.8,4.6,1.5,versicolor
62,6.8,3.0,5.5,2.1,virginica
63,5.5,4.2,1.4,0.2,setosa
64,5.4,3.9,1.7,0.4,setosa
65,5.4,3.9,1.3,0.4,setosa
66,5.0,3.4,1.5,0.2,setosa
67,7.7,3.8,6.7,2.2,virginica
68,6.4,2.8,5.6,2.1,virginica
69,5.7,4.4,1.5,0.4,setosa
70,6.7,3.3,5.7,2.5,virginica
71,5.5,2.3,4.0,1.3,versicolor
72,5.5,2.4,3.8,1.1,versicolor
73,7.7,2.6,6.9,2.3,virginica
74,6.9,3.2,5.7,2.3,virginica
75,4.9,2.5,4.5,1.7,virginica
76,6.3,2.9,5.6,1.8,virginica
77,5.2,4.1,1.5,0.1,setosa
78,4.9,3.1,1.5,0.1,setosa
79,5.0,3.6,1.4,0.2,setosa
80,5.9,3.0,4.2,1.5,versicolor
81,7.2,3.0,5.8,1.6,virginica
82,6.0,2.2,5.0,1.5,virginica
83,6.0,2.9,4.5,1.5,versicolor
84,6.0,2.7,5.1,1.6,versicolor
85,5.3,3.7,1.5,0.2,setosa
86,6.5,3.2,5.1,2.0,virginica
87,4.8,3.0,1.4,0.1,setosa
88,5.5,3.5,1.3,0.2,setosa
89,5.7,2.8,4.1,1.3,versicolor
90,6.3,3.3,4.7,1.6,versicolor
91,6.4,3.2,5.3,2.3,virginica
92,4.7,3.2,1.3,0.2,setosa
93,6.0,3.0,4.8,1.8,virginica
94,5.0,3.0,1.6,0.2,setosa
95,5.5,2.5,4.0,1.3,versicolor
96,5.8,2.6,4.0,1.2,versicolor
97,6.2,3.4,5.4,2.3,virginica
98,4.9,2.4,3.3,1.0,versicolor
99,5.8,4.0,1.2,0.2,setosa
100,5.6,2.9,3.6,1.3,versicolor
101,5.1,3.7,1.5,0.4,setosa
102,4.3,3.0,1.1,0.1,setosa
103,6.7,3.1,5.6,2.4,virginica
104,4.4,3.0,1.3,0.2,setosa
105,7.3,2.9,6.3,1.8,virginica
106,6.9,3.1,5.4,2.1,virginica
107,6.0,3.4,4.5,1.6,versicolor
108,5.2,3.5,1.5,0.2,setosa
109,6.7,3.0,5.0,1.7,versicolor
110,5.8,2.7,5.1,1.9,virginica
111,6.2,2.2,4.5,1.5,versicolor
112,4.6,3.6,1.0,0.2,setosa
113,5.7,2.9,4.2,1.3,versicolor
114,5.7,2.5,5.0,2.0,virginica
115,6.9,3.1,4.9,1.5,versicolor
116,4.8,3.0,1.4,0.3,setosa
117,6.9,3.1,5.1,2.3,virginica
118,4.7,3.2,1.6,0.2,setosa
119,6.8,2.8,4.8,1.4,versicolor
